t_s,temp_c,detune_c,v0_hz,v1_hz,v2_hz,v3_hz,rms
3.167,30.00,71.266,458.491,0.000,0.000,0.000,0.113698
3.200,30.00,71.565,458.570,0.000,0.000,0.000,0.112686
3.233,30.00,71.839,458.642,0.000,0.000,0.000,0.113416
3.267,30.00,72.092,458.709,0.000,0.000,0.000,0.113099
3.300,30.00,72.324,458.771,0.000,0.000,0.000,0.112872
3.333,30.00,72.538,458.828,0.000,0.000,0.000,0.113614
3.367,30.00,72.735,458.880,0.000,0.000,0.000,0.112576
3.400,30.00,72.916,458.928,0.000,0.000,0.000,0.113614
3.433,30.00,73.083,458.972,0.000,0.000,0.000,0.112879
3.467,30.00,73.236,459.013,0.000,0.000,0.000,0.113076
3.500,30.00,73.377,459.050,0.000,0.000,0.000,0.113532
3.533,30.00,73.507,459.084,0.000,0.000,0.000,0.112574
3.567,30.00,73.626,459.116,0.000,0.000,0.000,0.113629
3.600,30.00,73.736,459.145,0.000,0.000,0.000,0.112934
3.633,30.00,73.837,459.172,0.000,0.000,0.000,0.112983
3.667,30.00,73.930,459.197,0.000,0.000,0.000,0.113577
3.700,30.00,74.016,459.219,0.000,0.000,0.000,0.112595
3.733,30.00,74.094,459.240,0.000,0.000,0.000,0.113520
3.767,30.00,74.167,459.259,0.000,0.000,0.000,0.113106
3.800,30.00,74.233,459.277,0.000,0.000,0.000,0.112772
3.833,30.00,74.295,459.293,0.000,0.000,0.000,0.113692
3.867,30.00,74.351,459.308,0.000,0.000,0.000,0.112688
3.900,30.00,74.403,459.322,0.000,0.000,0.000,0.113224
3.933,30.00,74.451,459.335,0.000,0.000,0.000,0.113437
3.967,30.00,74.495,459.346,0.000,0.000,0.000,0.112616
4.000,20.00,62.542,456.186,0.000,0.000,0.000,0.113591
4.033,20.00,51.544,453.297,0.000,0.000,0.000,0.112689
4.067,20.00,41.427,450.656,0.000,0.000,0.000,0.113474
4.100,20.00,32.118,448.239,0.000,0.000,0.000,0.113230
4.133,20.00,23.553,446.027,0.000,0.000,0.000,0.112887
4.167,20.00,15.673,444.001,0.000,0.000,0.000,0.112956
4.200,20.00,8.423,442.146,0.000,0.000,0.000,0.113708
4.233,20.00,1.753,440.446,0.000,0.000,0.000,0.112538
4.267,20.00,-4.384,438.887,0.000,0.000,0.000,0.113666
4.300,20.00,-10.030,437.458,0.000,0.000,0.000,0.113096
4.333,20.00,-15.225,436.148,0.000,0.000,0.000,0.112868
4.367,20.00,-20.004,434.945,0.000,0.000,0.000,0.112996
4.400,20.00,-24.401,433.842,0.000,0.000,0.000,0.113130
4.433,20.00,-28.447,432.829,0.000,0.000,0.000,0.113294
4.467,20.00,-32.169,431.900,0.000,0.000,0.000,0.113391
4.500,20.00,-35.594,431.046,0.000,0.000,0.000,0.113261
4.533,20.00,-38.744,430.262,0.000,0.000,0.000,0.112691
4.567,20.00,-41.643,429.543,0.000,0.000,0.000,0.113068
4.600,20.00,-44.310,428.881,0.000,0.000,0.000,0.113662
4.633,20.00,-46.764,428.274,0.000,0.000,0.000,0.112552
4.667,20.00,-49.022,427.716,0.000,0.000,0.000,0.113594
4.700,20.00,-51.099,427.203,0.000,0.000,0.000,0.112797
4.733,20.00,-53.010,426.732,0.000,0.000,0.000,0.113498
4.767,20.00,-54.768,426.298,0.000,0.000,0.000,0.112658
4.800,20.00,-56.386,425.900,0.000,0.000,0.000,0.113716
4.833,20.00,-57.874,425.534,0.000,0.000,0.000,0.112569
4.867,20.00,-59.243,425.198,0.000,0.000,0.000,0.113435
4.900,20.00,-60.503,424.888,0.000,0.000,0.000,0.113310
4.933,20.00,-61.662,424.604,0.000,0.000,0.000,0.112622
4.967,20.00,-62.729,424.343,0.000,0.000,0.000,0.113436
5.000,20.00,-63.710,424.102,0.000,0.000,0.000,0.113433
5.033,20.00,-64.613,423.881,0.000,0.000,0.000,0.112722
5.067,20.00,-65.443,423.678,0.000,0.000,0.000,0.112964
5.100,20.00,-66.207,423.491,0.000,0.000,0.000,0.113572
5.133,20.00,-66.910,423.319,0.000,0.000,0.000,0.113293
5.167,20.00,-67.557,423.161,0.000,0.000,0.000,0.112782
5.200,20.00,-68.152,423.015,0.000,0.000,0.000,0.112865
5.233,20.00,-68.700,422.882,0.000,0.000,0.000,0.113314
5.267,20.00,-69.203,422.759,0.000,0.000,0.000,0.113508
5.300,20.00,-69.667,422.645,0.000,0.000,0.000,0.113196
5.333,20.00,-70.093,422.541,0.000,0.000,0.000,0.112889
5.367,20.00,-70.486,422.446,0.000,0.000,0.000,0.112827
5.400,20.00,-70.847,422.358,0.000,0.000,0.000,0.113123
5.433,20.00,-71.179,422.276,0.000,0.000,0.000,0.113355
5.467,20.00,-71.484,422.202,0.000,0.000,0.000,0.113431
5.500,20.00,-71.765,422.133,0.000,0.000,0.000,0.113217
5.533,20.00,-72.024,422.070,0.000,0.000,0.000,0.112997
5.567,20.00,-72.262,422.012,0.000,0.000,0.000,0.112853
5.600,20.00,-72.481,421.959,0.000,0.000,0.000,0.112943
5.633,20.00,-72.682,421.910,0.000,0.000,0.000,0.113145
5.667,20.00,-72.868,421.865,0.000,0.000,0.000,0.113331
5.700,20.00,-73.038,421.823,0.000,0.000,0.000,0.113396
5.733,20.00,-73.195,421.785,0.000,0.000,0.000,0.113274
5.767,20.00,-73.339,421.750,0.000,0.000,0.000,0.113138
5.800,20.00,-73.472,421.717,0.000,0.000,0.000,0.112962
5.833,20.00,-73.594,421.688,0.000,0.000,0.000,0.112945
5.867,20.00,-73.707,421.660,0.000,0.000,0.000,0.112941
5.900,20.00,-73.810,421.635,0.000,0.000,0.000,0.113088
5.933,20.00,-73.905,421.612,0.000,0.000,0.000,0.113216
5.967,20.00,-73.993,421.591,0.000,0.000,0.000,0.113341
6.000,25.00,-68.077,423.034,0.000,0.000,0.000,0.113355
6.033,25.00,-62.633,424.366,0.000,0.000,0.000,0.113263
6.067,25.00,-57.626,425.595,0.000,0.000,0.000,0.112665
6.100,25.00,-53.018,426.729,0.000,0.000,0.000,0.113227
6.133,25.00,-48.779,427.776,0.000,0.000,0.000,0.113398
6.167,25.00,-44.879,428.740,0.000,0.000,0.000,0.112798
6.200,25.00,-41.291,429.630,0.000,0.000,0.000,0.113253
6.233,25.00,-37.989,430.450,0.000,0.000,0.000,0.113407
6.267,25.00,-34.952,431.206,0.000,0.000,0.000,0.112635
6.300,25.00,-32.157,431.903,0.000,0.000,0.000,0.113211
6.333,25.00,-29.586,432.544,0.000,0.000,0.000,0.113541
6.367,25.00,-27.220,433.136,0.000,0.000,0.000,0.113225
6.400,25.00,-25.044,433.681,0.000,0.000,0.000,0.113023
6.433,25.00,-23.042,434.183,0.000,0.000,0.000,0.112944
6.467,25.00,-21.199,434.645,0.000,0.000,0.000,0.113049
6.500,25.00,-19.504,435.071,0.000,0.000,0.000,0.113110
6.533,25.00,-17.945,435.463,0.000,0.000,0.000,0.113113
6.567,25.00,-16.510,435.824,0.000,0.000,0.000,0.113210
6.600,25.00,-15.190,436.156,0.000,0.000,0.000,0.113261
6.633,25.00,-13.975,436.462,0.000,0.000,0.000,0.113243
6.667,25.00,-12.858,436.744,0.000,0.000,0.000,0.113264
6.700,25.00,-11.830,437.004,0.000,0.000,0.000,0.113124
6.733,25.00,-10.884,437.242,0.000,0.000,0.000,0.112977
6.767,25.00,-10.014,437.462,0.000,0.000,0.000,0.112842
6.800,25.00,-9.213,437.665,0.000,0.000,0.000,0.113004
6.833,25.00,-8.477,437.851,0.000,0.000,0.000,0.113309
6.867,25.00,-7.799,438.022,0.000,0.000,0.000,0.113492
6.900,25.00,-7.175,438.180,0.000,0.000,0.000,0.113178
6.933,25.00,-6.602,438.325,0.000,0.000,0.000,0.112812
6.967,25.00,-6.074,438.459,0.000,0.000,0.000,0.112890
7.000,25.00,-5.588,438.582,0.000,0.000,0.000,0.113448
7.033,25.00,-5.141,438.695,0.000,0.000,0.000,0.113436
7.067,25.00,-4.730,438.799,0.000,0.000,0.000,0.112875
7.100,25.00,-4.352,438.895,0.000,0.000,0.000,0.112787
7.133,25.00,-4.004,438.984,0.000,0.000,0.000,0.113410
7.167,25.00,-3.684,439.065,0.000,0.000,0.000,0.113478
7.200,25.00,-3.389,439.139,0.000,0.000,0.000,0.112758
7.233,25.00,-3.118,439.208,0.000,0.000,0.000,0.112911
7.267,25.00,-2.869,439.271,0.000,0.000,0.000,0.113587
7.300,25.00,-2.640,439.330,0.000,0.000,0.000,0.113194
7.333,25.00,-2.429,439.383,0.000,0.000,0.000,0.112675
7.367,25.00,-2.234,439.432,0.000,0.000,0.000,0.113289
7.400,25.00,-2.056,439.478,0.000,0.000,0.000,0.113539
7.433,25.00,-1.891,439.520,0.000,0.000,0.000,0.112762
7.467,25.00,-1.740,439.558,0.000,0.000,0.000,0.112949
7.500,25.00,-1.601,439.593,0.000,0.000,0.000,0.113648
7.533,25.00,-1.473,439.626,0.000,0.000,0.000,0.112981
7.567,25.00,-1.355,439.656,0.000,0.000,0.000,0.112728
7.600,25.00,-1.247,439.683,0.000,0.000,0.000,0.113596
7.633,25.00,-1.147,439.709,0.000,0.000,0.000,0.113198
7.667,25.00,-1.055,439.732,0.000,0.000,0.000,0.112629
7.700,25.00,-0.971,439.753,0.000,0.000,0.000,0.113477
7.733,25.00,-0.893,439.773,0.000,0.000,0.000,0.113364
7.767,25.00,-0.822,439.791,0.000,0.000,0.000,0.112611
7.800,25.00,-0.756,439.808,0.000,0.000,0.000,0.113346
7.833,25.00,-0.696,439.823,0.000,0.000,0.000,0.113478
7.867,25.00,-0.640,439.837,0.000,0.000,0.000,0.112635
7.900,25.00,-0.589,439.850,0.000,0.000,0.000,0.113230
7.933,25.00,-0.542,439.862,0.000,0.000,0.000,0.113550
7.967,25.00,-0.499,439.873,0.000,0.000,0.000,0.112677
8.000,25.00,-0.499,439.873,0.000,0.000,0.000,0.113091
